datetime,open,high,low,close,volume,average,barCount,start_time,VIX,QQQ_close,XLK_close,returns,volatility_20,volume_ma_ratio,close_QQQ_spread,close_XLK_spread
2023-04-12 08:00:00-04:00,93.39,95.7,93.17,95.06,551281.0,95.044,1609,2023-04-12 08:00:00-04:00,18.66,318.22,74.42,0.014622691856121195,0.006803784286777135,0.23285440533121068,-223.16000000000003,20.64
2023-04-12 09:00:00-04:00,95.05,95.4,91.74,92.52,9220435.0,92.875,34303,2023-04-12 09:00:00-04:00,18.61,315.63,73.81,-0.026719966337050316,0.008856607722548107,3.260332729546077,-223.11,18.709999999999994
2023-04-12 10:00:00-04:00,92.51,93.73,92.07,93.03,11115726.0,93.073,38304,2023-04-12 10:00:00-04:00,19.24,314.3,73.66,0.005512321660181563,0.008997235840214599,3.28569271823212,-221.27,19.370000000000005
2023-04-12 11:00:00-04:00,93.04,93.57,92.85,93.49,5464063.0,93.227,18677,2023-04-12 11:00:00-04:00,18.82,315.78,73.99,0.004944641513490167,0.009103842908453735,1.4953493570229262,-222.28999999999996,19.5
2023-04-12 12:00:00-04:00,93.51,94.11,93.47,93.8,4513767.0,93.815,14034,2023-04-12 12:00:00-04:00,18.63,316.1,74.08,0.003315862659107882,0.009151992570551087,1.1654299922804996,-222.3,19.72
2023-04-12 13:00:00-04:00,93.81,93.94,92.89,93.06,3834357.0,93.359,13464,2023-04-12 13:00:00-04:00,18.47,315.7,74.0,-0.00788912579957346,0.008584361415085109,1.04489647072885,-222.64,19.060000000000002
2023-04-12 14:00:00-04:00,93.05,93.37,92.52,92.6,5477868.0,92.915,20891,2023-04-12 14:00:00-04:00,18.85,314.1,73.61,-0.004943047496239084,0.008140022073651389,1.5758243503235725,-221.50000000000003,18.989999999999995
2023-04-12 15:00:00-04:00,92.59,92.7,92.01,92.32,6150611.0,92.393,27178,2023-04-12 15:00:00-04:00,19.16,313.04,73.38,-0.0030237580993520696,0.00811489481040747,1.7755496346296282,-220.72000000000003,18.939999999999998
2023-04-12 16:00:00-04:00,92.33,92.38,92.13,92.15,1946426.0,92.328,265,2023-04-12 16:00:00-04:00,19.09,313.04,73.23,-0.0018414211438473327,0.008113652509860826,0.582535635948463,-220.89000000000001,18.92
2023-04-12 17:00:00-04:00,92.12,92.12,92.03,92.05,37034.0,92.06,92,2023-04-12 17:00:00-04:00,19.09,312.9,73.26,-0.0010851871947912262,0.007869846644453369,0.01202844603741076,-220.84999999999997,18.789999999999992
2023-04-12 18:00:00-04:00,92.07,92.08,91.86,91.86,20095.0,91.953,70,2023-04-12 18:00:00-04:00,19.09,312.54,73.33,-0.002064095600217253,0.007841565691682765,0.007065512348182683,-220.68,18.53
2023-04-12 19:00:00-04:00,91.95,91.99,91.85,91.9,23098.0,91.912,80,2023-04-12 19:00:00-04:00,19.09,312.4,73.12,0.00043544524276084573,0.007833339851406579,0.009204617332221112,-220.49999999999997,18.78
2023-04-13 04:00:00-04:00,92.27,92.27,91.95,91.96,3639.0,92.043,24,2023-04-13 04:00:00-04:00,18.92,313.44,73.12,0.0006528835690966517,0.007843377805580178,0.0014998171595527875,-221.48000000000002,18.78
2023-04-13 05:00:00-04:00,92.04,92.5,92.0,92.29,2444.0,92.292,17,2023-04-13 05:00:00-04:00,18.85,314.11,73.12,0.0035885167464115852,0.007911259769744336,0.0010088083956468928,-221.82,18.78
2023-04-13 06:00:00-04:00,92.1,92.23,92.01,92.08,2040.0,92.054,11,2023-04-13 06:00:00-04:00,19.02,313.7,73.54,-0.0022754361252573796,0.00791498976135619,0.0008423200938988712,-221.62,18.539999999999992
2023-04-13 07:00:00-04:00,92.13,92.36,92.05,92.11,15250.0,92.217,63,2023-04-13 07:00:00-04:00,19.03,313.38,73.64,0.00032580364900081094,0.007913089590641686,0.00629881035917634,-221.26999999999998,18.47
2023-04-13 08:00:00-04:00,92.3,92.8,92.0,92.55,95289.0,92.459,336,2023-04-13 08:00:00-04:00,18.56,314.78,73.77,0.004776897188144558,0.008013735010406395,0.03928274859935476,-222.22999999999996,18.78
2023-04-13 09:00:00-04:00,92.53,93.03,91.83,92.04,5499346.0,92.369,20321,2023-04-13 09:00:00-04:00,18.62,315.79,73.8,-0.005510534846029036,0.008087198719585891,2.036337883219797,-223.75,18.24000000000001
2023-04-13 10:00:00-04:00,92.05,93.16,91.85,92.26,8325532.0,92.586,29725,2023-04-13 10:00:00-04:00,18.32,316.79,74.08,0.002390265102129474,0.007988544509763374,2.6721441318610037,-224.53000000000003,18.180000000000007
2023-04-13 11:00:00-04:00,92.27,92.71,92.03,92.54,5051569.0,92.322,17983,2023-04-13 11:00:00-04:00,18.17,317.52,74.32,0.003034901365705611,0.007874789424825529,1.5000976245388447,-224.97999999999996,18.220000000000013
2023-04-13 12:00:00-04:00,92.54,92.72,92.12,92.2,3395193.0,92.467,12021,2023-04-13 12:00:00-04:00,18.1,317.71,74.35,-0.003674086881348626,0.007032511165701493,0.9673771389038419,-225.51,17.85000000000001
2023-04-13 13:00:00-04:00,92.21,92.54,92.05,92.41,3006025.0,92.315,11114,2023-04-13 13:00:00-04:00,18.17,318.78,74.6,0.0022776572668112838,0.0038112808663077987,0.939685684942328,-226.36999999999998,17.810000000000002
2023-04-13 14:00:00-04:00,92.4,92.57,92.24,92.45,3029979.0,92.408,11703,2023-04-13 14:00:00-04:00,18.0,319.14,74.69,0.00043285358727418455,0.003583359880905714,1.0841948433296285,-226.69,17.760000000000005
2023-04-13 15:00:00-04:00,92.46,92.84,92.0,92.09,5350336.0,92.465,23670,2023-04-13 15:00:00-04:00,17.84,319.27,74.74,-0.003893996755002682,0.003443969626257836,1.918374250164459,-227.17999999999998,17.35000000000001
