datetime,open,high,low,close,volume,average,barCount,start_time,VIX,QQQ_close,returns,volatility_20,volume_ma_ratio,close_QQQ_spread
2023-04-12 10:00:00-04:00,66.39,67.32,66.07,66.35,542805.0,66.765,3165,2023-04-12 10:00:00-04:00,19.24,314.3,-0.0006025003765628423,0.00948635556479845,1.8358014511761804,-247.95000000000002
2023-04-12 11:00:00-04:00,66.35,68.29,66.19,68.2,613504.0,67.369,3883,2023-04-12 11:00:00-04:00,18.82,315.78,0.02788244159758868,0.01103970690558181,1.8814939485906215,-247.57999999999998
2023-04-12 12:00:00-04:00,68.21,68.6,67.7,68.19,501158.0,68.184,3000,2023-04-12 12:00:00-04:00,18.63,316.1,-0.00014662756598249338,0.01075693949797261,1.4307086583826871,-247.91000000000003
2023-04-12 13:00:00-04:00,68.19,68.79,67.81,67.85,437773.0,68.277,2686,2023-04-12 13:00:00-04:00,18.47,315.7,-0.004986068338466154,0.010252228005965834,1.270885222667569,-247.85
2023-04-12 14:00:00-04:00,67.85,67.95,67.0,67.36,461021.0,67.456,3054,2023-04-12 14:00:00-04:00,18.85,314.1,-0.007221812822402307,0.008829253646784538,1.4076317339019377,-246.74
2023-04-12 15:00:00-04:00,67.34,67.63,66.63,66.84,734743.0,66.995,4961,2023-04-12 15:00:00-04:00,19.16,313.04,-0.0077197149643705165,0.009116399363195745,2.192322605545413,-246.20000000000002
2023-04-12 16:00:00-04:00,66.84,67.1,66.7,66.7,243955.0,66.84,40,2023-04-12 16:00:00-04:00,19.09,313.04,-0.002094554159186135,0.00911987473646508,0.7499584603156525,-246.34000000000003
2023-04-12 17:00:00-04:00,66.8,66.8,66.7,66.7,225.0,66.756,2,2023-04-12 17:00:00-04:00,19.09,312.9,0.0,0.00901976259191879,0.0007278853861965756,-246.2
2023-04-12 18:00:00-04:00,66.7,66.7,66.6,66.6,614.0,66.654,4,2023-04-12 18:00:00-04:00,19.09,312.54,-0.0014992503748126884,0.009041751311822326,0.002158916280285701,-245.94000000000003
2023-04-12 19:00:00-04:00,66.6,66.6,66.3,66.3,1225.0,66.37,10,2023-04-12 19:00:00-04:00,19.09,312.4,-0.0045045045045044585,0.009062364101735065,0.0052422463432122215,-246.09999999999997
2023-04-13 08:00:00-04:00,67.34,67.99,67.01,67.78,3510.0,67.411,20,2023-04-13 08:00:00-04:00,18.56,314.78,0.022322775263951877,0.01022642074264396,0.015833223380393193,-246.99999999999997
2023-04-13 09:00:00-04:00,67.25,68.97,67.25,68.14,330343.0,68.203,1626,2023-04-13 09:00:00-04:00,18.62,315.79,0.005311301268810853,0.01006123793407491,1.38712593048267,-247.65000000000003
2023-04-13 10:00:00-04:00,68.2,69.81,67.94,69.13,682247.0,69.256,4327,2023-04-13 10:00:00-04:00,18.32,316.79,0.014528911065453398,0.010393927375057236,2.506219197888779,-247.66000000000003
2023-04-13 11:00:00-04:00,69.15,69.28,67.96,68.46,533453.0,68.56,2659,2023-04-13 11:00:00-04:00,18.17,317.52,-0.009691884854621802,0.010782906720968466,1.7848747064818575,-249.06
