datetime,open,high,low,close,volume,average,barCount,start_time,VIX,QQQ_close,XLK_close,returns,volatility_20,volume_ma_ratio,close_QQQ_spread,close_XLK_spread
2005-10-03,7.84,8.01,7.83,7.97,346145854.1458542,7.9322243,42982,2005-10-03,12.43,39.57,10.44,0.007585335018963191,0.015884328849065196,1.068702666790863,-31.6,-2.4699999999999998
2005-10-04,8.0,8.04,7.78,7.78,341890109.89010996,7.91445655,42465,2005-10-04,13.11,39.31,10.35,-0.023839397741530655,0.017014681145359742,1.0271382857458422,-31.53,-2.5699999999999994
2005-10-05,7.82,7.88,7.58,7.78,315256743.2567433,7.8041964,39630,2005-10-05,14.54,38.74,10.21,0.0,0.01608767994031855,0.9427393369289663,-30.96,-2.4300000000000006
2005-10-06,7.86,7.87,7.76,7.82,298537462.5374626,7.815032225,34806,2005-10-06,15.07,38.25,10.09,0.005141388174807249,0.016092482765596744,0.8868847681348757,-30.43,-2.2699999999999996
2005-10-07,7.88,7.92,7.77,7.83,256867132.8671329,7.82917135,32268,2005-10-07,14.54,38.34,10.11,0.0012787723785165905,0.015947591848519637,0.7530752829260292,-30.510000000000005,-2.2799999999999994
2005-10-10,7.84,7.88,7.74,7.78,212591408.5914086,7.802795,27203,2005-10-10,15.43,38.12,10.04,-0.0063856960408684715,0.01392566748981324,0.6403355680464113,-30.339999999999996,-2.259999999999999
2005-10-11,7.79,7.82,7.63,7.66,325446553.44655347,7.71275505,40353,2005-10-11,15.55,37.93,9.97,-0.015424164524421635,0.01427074054242642,0.9905485398339334,-30.27,-2.3100000000000005
2005-10-12,7.64,7.69,7.48,7.53,348135864.1358642,7.58172415,42858,2005-10-12,16.06,37.48,9.9,-0.016971279373368175,0.013179620442202205,1.07284539049363,-29.949999999999996,-2.37
2005-10-13,7.56,7.56,7.27,7.44,404915084.91508496,7.4298224,51607,2005-10-13,16.29,37.78,9.97,-0.01195219123505975,0.013439351017245051,1.2765469612563651,-30.34,-2.5300000000000002
2005-10-14,7.49,7.51,7.32,7.41,324915084.91508496,7.39003265,41010,2005-10-14,14.86,38.06,10.0,-0.0040322580645161255,0.013358335463916588,1.0165560740506903,-30.650000000000002,-2.59
2005-10-17,7.44,7.64,7.37,7.63,287252747.2527473,7.517735225,36335,2005-10-17,14.67,38.18,9.98,0.029689608636977116,0.01474940136400404,0.8897407207537269,-30.55,-2.3500000000000005
2005-10-18,7.63,7.71,7.58,7.59,258213786.21378624,7.6370294,33459,2005-10-18,15.36,37.91,9.97,-0.005242463958060273,0.014476532400853585,0.8121808270624714,-30.319999999999997,-2.380000000000001
2005-10-19,7.61,7.75,7.61,7.73,261482517.4825175,7.7031955,33452,2005-10-19,13.67,38.67,10.08,0.01844532279314892,0.014729612336719147,0.8374505596889573,-30.94,-2.3499999999999996
2005-10-20,7.76,7.79,7.54,7.59,300331668.3316684,7.6649573,38113,2005-10-20,15.95,38.31,10.02,-0.018111254851228997,0.015250251722507512,0.9887337136121577,-30.720000000000002,-2.4299999999999997
2005-10-21,8.65,8.72,8.33,8.5,757126873.1268733,8.48863015,94358,2005-10-21,16.23,38.55,10.08,0.11989459815546777,0.031043535029623533,2.324913078502674,-30.049999999999997,-1.58
2005-10-24,8.59,8.91,8.56,8.72,355000999.00099903,8.674666,46169,2005-10-24,14.91,39.15,10.2,0.025882352941176467,0.03135073725256013,1.0927944744619151,-30.43,-1.4799999999999986
2005-10-25,8.65,8.69,8.58,8.68,261022977.02297705,8.633549925,30699,2005-10-25,14.41,39.08,10.17,-0.004587155963302836,0.03141095297928281,0.8035625866888918,-30.4,-1.4900000000000002
2005-10-26,8.67,8.91,8.66,8.89,337726273.7262738,8.819585775,40823,2005-10-26,14.75,38.8,10.12,0.024193548387096975,0.030724998766680136,1.034114421146267,-29.909999999999997,-1.2299999999999986
2005-10-27,8.92,8.93,8.8,8.84,192575424.5754246,8.85779895,23889,2005-10-27,16.28,38.05,10.02,-0.0056242969628796935,0.03084559444746281,0.5914075812139244,-29.209999999999997,-1.1799999999999997
2005-10-28,8.89,8.98,8.88,8.97,221526473.52647355,8.937403475,26685,2005-10-28,14.19,38.32,10.11,0.014705882352941346,0.030736004674465463,0.6915180915861994,-29.35,-1.1399999999999988
2005-10-31,9.02,9.38,9.0,9.3,542565434.5654347,9.247813575,66568,2005-10-31,15.1,38.86,10.22,0.03678929765886285,0.03146375329171387,1.6432959595666197,-29.56,-0.9199999999999999
2005-11-01,9.31,9.61,9.23,9.48,622989010.989011,9.459475025,81741,2005-11-01,15.48,38.84,10.19,0.019354838709677358,0.030620472370332958,1.8098361949825896,-29.360000000000003,-0.7099999999999991
2005-11-02,9.55,9.63,9.44,9.5,400595404.5954047,9.52246295,52416,2005-11-02,13.49,39.34,10.3,0.002109704641350074,0.03058654778142161,1.1495146477146791,-29.840000000000003,-0.8000000000000007
