datetime,open,high,low,close,volume,average,barCount,start_time,VIX,SPY_close,QQQ_close,returns,volatility_20,volume_ma_ratio,close_SPY_spread,close_QQQ_spread
2023-04-12 08:00:00-04:00,64.58,64.97,64.27,64.86,63874.0,64.735,190,2023-04-12 08:00:00-04:00,18.66,412.11,318.22,0.0029379928869646132,0.003382657815614538,0.16164222467216482,-347.25,-253.36
2023-04-12 09:00:00-04:00,64.81,65.0,64.34,64.45,1152482.0,64.584,3957,2023-04-12 09:00:00-04:00,18.61,410.75,315.63,-0.006321307431390588,0.0036938624315179824,2.547443984092207,-346.3,-251.18
2023-04-12 10:00:00-04:00,64.45,64.87,64.25,64.48,1386591.0,64.535,5432,2023-04-12 10:00:00-04:00,19.24,409.17,314.3,0.00046547711404199,0.0036863420665570047,2.6618033633272873,-344.69,-249.82
2023-04-12 11:00:00-04:00,64.48,64.6,64.28,64.57,647692.0,64.466,3038,2023-04-12 11:00:00-04:00,18.82,410.34,315.78,0.0013957816377170307,0.0036921325872927148,1.1719079148005005,-345.77,-251.20999999999998
2023-04-12 12:00:00-04:00,64.58,64.97,64.51,64.96,916065.0,64.796,3823,2023-04-12 12:00:00-04:00,18.63,410.86,316.1,0.006039956636208821,0.003917792652397657,1.5329108589406246,-345.90000000000003,-251.14000000000004
2023-04-12 13:00:00-04:00,64.95,65.21,64.82,64.93,970201.0,65.02,4182,2023-04-12 13:00:00-04:00,18.47,410.88,315.7,-0.00046182266009830997,0.0035179558381241652,1.6545119339778454,-345.95,-250.76999999999998
2023-04-12 14:00:00-04:00,64.94,65.06,64.63,64.84,777379.0,64.856,3914,2023-04-12 14:00:00-04:00,18.85,409.02,314.1,-0.001386108116433138,0.0032525183243528985,1.361818544601638,-344.17999999999995,-249.26000000000002
2023-04-12 15:00:00-04:00,64.84,64.98,64.67,64.86,1580223.0,64.833,8840,2023-04-12 15:00:00-04:00,19.16,408.07,313.04,0.00030845157310288585,0.0027470713208573565,2.688777664447235,-343.21,-248.18
2023-04-12 16:00:00-04:00,64.84,64.95,64.84,64.84,474928.0,64.841,112,2023-04-12 16:00:00-04:00,19.09,407.77,313.04,-0.0003083564600677713,0.0027422910462130707,0.8313140279953745,-342.92999999999995,-248.20000000000002
2023-04-12 17:00:00-04:00,64.84,64.87,64.84,64.86,2700.0,64.846,10,2023-04-12 17:00:00-04:00,19.09,407.79,312.9,0.00030845157310288585,0.002389235154230759,0.005140068288662808,-342.93,-248.03999999999996
