datetime,open,high,low,close,volume,average,barCount,start_time,VIX,returns,volatility_20,volume_ma_ratio
2023-04-12 18:00:00-04:00,24.55,24.55,24.55,24.55,0.0,24.55,0,2023-04-12 18:00:00-04:00,19.09,0.0,0.0036793628293052454,0.0
2023-04-12 19:00:00-04:00,24.55,24.55,24.55,24.55,0.0,24.55,0,2023-04-12 19:00:00-04:00,19.09,0.0,0.0034629026400570997,0.0
2023-04-13 09:00:00-04:00,24.5,24.66,24.37,24.42,112828.0,24.502,616,2023-04-13 09:00:00-04:00,18.62,-0.005295315682281032,0.003584346328720299,0.4965601498464918
2023-04-13 10:00:00-04:00,24.42,24.61,24.41,24.56,256612.0,24.528,1663,2023-04-13 10:00:00-04:00,18.32,0.005733005733005614,0.0037336902368554975,1.1146960325670627
2023-04-13 11:00:00-04:00,24.56,24.58,24.32,24.46,238786.0,24.463,1401,2023-04-13 11:00:00-04:00,18.17,-0.004071661237784907,0.003318596885686178,1.0399903660235958
2023-04-13 12:00:00-04:00,24.46,24.59,24.44,24.55,133350.0,24.532,916,2023-04-13 12:00:00-04:00,18.1,0.003679476696647477,0.0034161586320636352,0.5891890112604249
2023-04-13 13:00:00-04:00,24.56,24.92,24.54,24.91,395027.0,24.678,1819,2023-04-13 13:00:00-04:00,18.17,0.014663951120162944,0.004690334553342744,1.9138385780230769
2023-04-13 14:00:00-04:00,24.91,25.12,24.88,24.99,1095161.0,25.039,1988,2023-04-13 14:00:00-04:00,18.0,0.0032115616218384435,0.004728789087544825,4.546375763533546
2023-04-13 15:00:00-04:00,25.0,25.0,24.78,24.82,627394.0,24.876,3438,2023-04-13 15:00:00-04:00,17.84,-0.006802721088435271,0.0050115289994332925,2.3044241767775437
2023-04-13 16:00:00-04:00,24.83,24.83,24.83,24.83,311137.0,24.83,17,2023-04-13 16:00:00-04:00,17.8,0.00040290088638195165,0.0050111772727842955,1.081038166602186
2023-04-13 17:00:00-04:00,24.83,24.83,24.83,24.83,0.0,24.83,0,2023-04-13 17:00:00-04:00,17.8,0.0,0.0050111772727842955,0.0
2023-04-13 18:00:00-04:00,24.83,24.83,24.83,24.83,0.0,24.83,0,2023-04-13 18:00:00-04:00,17.8,0.0,0.004886387947353635,0.0
2023-04-13 19:00:00-04:00,24.83,24.83,24.83,24.83,0.0,24.83,0,2023-04-13 19:00:00-04:00,17.8,0.0,0.004878102511041926,0.0
2023-04-14 08:00:00-04:00,25.39,25.39,25.39,25.39,400.0,25.39,1,2023-04-14 08:00:00-04:00,17.95,0.022553362867498983,0.0069307918078401285,0.0015475237781864529
2023-04-14 09:00:00-04:00,24.7,24.96,24.7,24.85,475677.0,24.853,1193,2023-04-14 09:00:00-04:00,17.95,-0.02126821583300509,0.008563859796206578,1.7421631372758715
2023-04-14 10:00:00-04:00,24.84,24.89,24.63,24.78,352266.0,24.734,2270,2023-04-14 10:00:00-04:00,17.7,-0.0028169014084507005,0.0085614811538907,1.2832007419459361
2023-04-14 11:00:00-04:00,24.79,24.8,24.52,24.61,154355.0,24.681,1159,2023-04-14 11:00:00-04:00,17.63,-0.006860371267151,0.008678217302733963,0.6098557156169171
2023-04-14 12:00:00-04:00,24.61,24.63,24.44,24.48,560048.0,24.528,1095,2023-04-14 12:00:00-04:00,17.89,-0.005282405526208844,0.008603770304290376,2.223163015930575
2023-04-14 13:00:00-04:00,24.48,24.54,24.33,24.37,196785.0,24.42,1292,2023-04-14 13:00:00-04:00,17.43,-0.004493464052287566,0.00865930127017306,0.8015966349927676
2023-04-14 14:00:00-04:00,24.37,24.46,24.31,24.41,179746.0,24.381,1226,2023-04-14 14:00:00-04:00,17.32,0.0016413623307345304,0.008670387650837186,0.7063305126639332
2023-04-14 15:00:00-04:00,24.4,24.51,24.3,24.49,557992.0,24.424,3688,2023-04-14 15:00:00-04:00,17.09,0.0032773453502661365,0.008706262764232456,1.9760448929839485
2023-04-14 16:00:00-04:00,24.49,24.49,24.49,24.49,315189.0,24.49,14,2023-04-14 16:00:00-04:00,17.07,0.0,0.008706262764232456,1.0571928771827375
2023-04-14 17:00:00-04:00,24.49,24.49,24.49,24.49,0.0,24.49,0,2023-04-14 17:00:00-04:00,17.07,0.0,0.008619604052546283,0.0
2023-04-14 18:00:00-04:00,24.49,24.49,24.49,24.49,0.0,24.49,0,2023-04-14 18:00:00-04:00,17.07,0.0,0.008519909428666808,0.0
2023-04-14 19:00:00-04:00,24.49,24.49,24.49,24.49,0.0,24.49,0,2023-04-14 19:00:00-04:00,17.07,0.0,0.008468712579545706,0.0
2023-04-17 08:00:00-04:00,25.0,25.0,25.0,25.0,2000.0,25.0,1,2023-04-17 08:00:00-04:00,17.72,0.020824826459779677,0.009637732204605192,0.007658174325702537
2023-04-17 09:00:00-04:00,24.53,24.53,24.24,24.25,162578.0,24.39,1009,2023-04-17 09:00:00-04:00,17.74,-0.030000000000000027,0.011321026541338469,0.6515201790199746
2023-04-17 10:00:00-04:00,24.25,24.31,24.04,24.18,241694.0,24.141,1839,2023-04-17 10:00:00-04:00,17.33,-0.0028865979381443863,0.011275700687818642,1.168376856089089
2023-04-17 11:00:00-04:00,24.18,24.29,24.11,24.29,203355.0,24.186,1389,2023-04-17 11:00:00-04:00,17.39,0.004549214226633458,0.011284969260725615,1.0953021392203321
2023-04-17 12:00:00-04:00,24.29,24.37,24.21,24.29,200998.0,24.279,1324,2023-04-17 12:00:00-04:00,17.29,0.0,0.011282658756880398,1.1157000824016543
2023-04-17 13:00:00-04:00,24.29,24.3,24.17,24.18,145063.0,24.247,1028,2023-04-17 13:00:00-04:00,17.27,-0.0045286125977768155,0.011306146591289076,0.7740520246543224
2023-04-17 14:00:00-04:00,24.18,24.34,24.13,24.32,170375.0,24.245,1213,2023-04-17 14:00:00-04:00,17.01,0.005789909015715411,0.011413841788175868,0.8695882961964476
2023-04-17 15:00:00-04:00,24.32,24.39,24.25,24.25,496011.0,24.295,3260,2023-04-17 15:00:00-04:00,16.94,-0.0028782894736841813,0.011419045502126687,2.24717365283568
